team_name,project_name,source_code_url,video_url,homepage_url,created_at,updated_at,identifier,member_count,data_sets,challenge_names
Team Tom 'n Suse,Data to the people!,https://github.com/tomcdonnell/govhack2021,https://www.loom.com/share/3c084dd8322e43b097a8881fb13f5fe4,http://s1.flatpackapps.com/app.php?appId=27,2021-08-22 16:43:01 +1000,2021-08-22 16:43:01 +1000,data_to_the_people,2,"[""https://discover.data.vic.gov.au/dataset/2020-on-track-survey-year-12-or-equivalent-completers-post-school-destinations-victoria"", ""https://data.gov.au/dataset/ds-dga-5fa69f19-ec44-4c46-88eb-0f6fd5c2f43b/details?q=""]","[""Our financial future"", ""Reimagining Digital Government Services"", ""Youth education and employment""]"
WynTree Team,Water Stewards,https://github.com/jasebanico/WaterStewards,https://www.youtube.com/watch?v=9WxjCxh8F3Y,https://waterstewards.azurewebsites.net/,2021-08-22 16:40:17 +1000,2021-08-22 16:40:17 +1000,water_stewards,6,"[""https://data.water.vic.gov.au/"", ""http://www.vic.waterwatch.org.au/cb_pages/monitoring.php""]","[""Managing Our Water Resources"", ""Water information without borders""]"
the team with no noname,Challenging Times,https://drive.google.com/drive/folders/1G3cGkIUSGPa7b0SKGbA8y7uIriRgDBTq?usp=sharing,https://drive.google.com/file/d/1bGbONkxUeTbzDbExPaOTxSp_nfnHwGP4/view?usp=sharing,"",2021-08-22 16:35:14 +1000,2021-08-22 16:35:14 +1000,challenging_times,2,"[""https://www.dpie.nsw.gov.au/__data/assets/pdf_file/0006/348027/Public-Spaces-Streets-as-Shared-Spaces-Engagement-Report.pdf""]","[""ROAD TO RECOVERY Public Spaces"", ""MORE Public Spaces "", ""ACTIVATED Public Spaces"", ""BETTER Public Spaces"", ""Living in a post-pandemic world""]"
Charlotte's Web,Upstream and Downstream,https://drive.google.com/drive/folders/1R7IRsS9kjKBt_DR-idc3N9qYsxHWXac3?usp=sharing,https://youtu.be/JufrMjtoVL8,"",2021-08-22 16:34:12 +1000,2021-08-22 16:34:12 +1000,upstream_and_downstream_1624,4,"[""https://data.gov.au/dataset/ds-melbourne-water-011837c7fdbfcc4331b6e47ae58f0f25490cc735a59596eb94193f496af11b7c/details?q=waterways""]","[""Water information without borders"", ""Managing Our Water Resources"", ""The cost of water""]"
TelStars,Public transport hub PTV re-imagined,https://github.com/vivekverma-create/GovHack,https://www.youtube.com/watch?v=WxQTUNVZDdg,http://govhackau-careerfinder.herokuapp.com/,2021-08-22 16:20:46 +1000,2021-08-22 16:20:46 +1000,public_transport_hub_ptv_re_imagined,5,"[""https://vicroadsopendata-vicroadsmaps.opendata.arcgis.com/datasets/vicroadsmaps::traffic-volume/about"", ""https://data.melbourne.vic.gov.au/widgets/b2ak-trbp"", ""https://data.melbourne.vic.gov.au/widgets/b2ak-trbp"", ""http://www.pedestrian.melbourne.vic.gov.au/#date=06-08-2021&time=10 "", ""https://chartingtransport.com/category/greenhouse-gas-emissions/"", ""https://www.infrastructurevictoria.com.au/wp-content/uploads/2021/01/Transporting-Melbournes-Recovery-January-2021-FINAL.pdf""]","[""Transport - Transitioning to COVID-Normal""]"
VAIT - Melbourne Team,SafeAus - Making Australia Safer,https://github.com/samhwang/vait-govhack-melbourne-team,https://www.youtube.com/watch?v=Qy81FTcN3vE,https://d38loes4b9kz15.cloudfront.net/,2021-08-22 15:32:06 +1000,2021-08-22 15:32:06 +1000,safeaus_making_australia_safer,9,"[""https://www.dpie.nsw.gov.au/__data/assets/pdf_file/0005/357512/final-evaluation-tool-print-english-march-2021.pdf"", ""https://www.crimestatistics.vic.gov.au/crime-statistics"", ""https://discover.data.vic.gov.au/dataset/open-space""]","[""BETTER Public Spaces"", ""Safeguarding citizens privacy and ownership of their personal data""]"
AB,Information Across Borders,https://drive.google.com/drive/folders/1cI_gE7YIXLvnZLHpPe6i4LBPLzC2CQt2?usp=sharing,https://drive.google.com/file/d/1fu-gV5ijZjw7DbuR6b1WQ1sw0hlmnEL4/view?usp=sharing,https://drive.google.com/file/d/1SkjRctUkH19b67krt3gMaAY1EXrPMtNo/view?usp=sharing,2021-08-22 15:59:13 +1000,2021-08-22 15:59:13 +1000,information_across_borders,5,"[""https://sdgs.un.org/goals"", ""https://knowyourcouncil.vic.gov.au/__data/assets/excel_doc/0011/29369/x-2020-Vic-Local-Government-contacts-May-2021.xlsx"", ""https://knowyourcouncil.vic.gov.au/__data/assets/excel_doc/0010/29368/x-2020-Vic-Local-Government-Directory-May-2021.xlsx"", ""https://knowyourcouncil.vic.gov.au/councils"", ""https://population.gov.au/docs/anticipating_the_impact_of_covid-19_on_internal_migration.pdf"", ""http://www.regionalaustralia.org.au/home/wp-content/uploads/2019/07/MigrationToolkit_v6.pdf"", ""https://www.rdv.vic.gov.au/victorias-regions"", ""https://www.abs.gov.au/statistics/people/population/regional-internal-migration-estimates-provisional/latest-release""]","[""Hack for a Circular Economy"", ""Reimagining Digital Government Services""]"
MegaCreators,EnableCitizens,https://github.com/kargold100/Enabler,https://youtu.be/l8le76AsqeQ,"",2021-08-22 15:51:59 +1000,2021-08-22 15:51:59 +1000,enablecitizens,2,"[""https://data.nsw.gov.au/data/dataset/893b33ed-7fe3-4ea3-8a7c-e1cd0823fb06"", ""http://www.abs.gov.au/AUSSTATS/abs@.nsf/mf/3235.0""]","[""Reimagining Digital Government Services"", ""Building Citizen’s Trust in this Digital World""]"
Cool.io,Agito App,https://github.com/jaswanthm/govhack-2021-coolio-agito,https://www.youtube.com/watch?v=LSqqNsEXAWE,https://www.figma.com/proto/Ya9QA9oJDssdm5uIdDm32L/GovHack-2021?node-id=28%3A3219&scaling=scale-down&page-id=15%3A430&starting-point-node-id=28%3A3219,2021-08-22 15:50:21 +1000,2021-08-22 15:50:21 +1000,agito_app,3,"[""https://www.melbourne.vic.gov.au/about-melbourne/research-and-statistics/city-economy/census-land-use-employment/Pages/clue-data-reports.aspx"", ""https://discover.data.vic.gov.au/dataset/traffic-signal-volume-data"", ""https://discover.data.vic.gov.au/dataset/ptv-metro-train-stations"", ""https://developers.google.com/maps"", ""https://discover.data.vic.gov.au/dataset/ptv-metro-tram-routes"", ""https://discover.data.vic.gov.au/dataset/ptv-timetable-and-geographic-information-2015-gtfs"", ""https://discover.data.vic.gov.au/dataset/bluetooth-travel-time-updates-every-2-minutes"", ""https://discover.data.vic.gov.au/dataset/principal-bicycle-network-pbn"", ""https://discover.data.vic.gov.au/dataset/ptv-metro-train-stations"", ""https://discover.data.vic.gov.au/dataset/ptv-metro-tram-routes"", ""https://discover.data.vic.gov.au/dataset/department-of-transport-bluetooth-travel-api"", ""https://discover.data.vic.gov.au/dataset/victorian-coronavirus-data"", ""https://openweathermap.org/current""]","[""Transport - Transitioning to COVID-Normal""]"
Team ARC,COtree 🌳,https://github.com/94lite/GovHack-2021,https://www.youtube.com/watch?v=ZiX9i0NJ6LI,"",2021-08-22 14:47:33 +1000,2021-08-22 14:47:33 +1000,cotree,6,"[""https://catalogue.data.govt.nz/dataset/greenhouse-gas-emissions-industry-and-household/resource/0f5b09c2-3487-48f9-9aaf-7f1053fc3f5b"", ""https://rightcar.govt.nz/""]","[""Being More Sustainable: Travelling using the most sustainable route"", ""The future of industry in regional New Zealand ""]"
